;ANO;CODUFMUN;POPULACAO
344;2019;520790;16557
345;2020;520790;17005
346;2021;520790;17415
347;2022;520790;11627
348;2019;520800;121617
349;2020;520800;123684
350;2021;520800;125705
351;2022;520800;112542
352;2019;520810;4248
353;2020;520810;4172
354;2021;520810;4098
355;2022;520810;4658
356;2019;520815;3818
357;2020;520815;3880
358;2021;520815;3923
359;2022;520815;3450
360;2019;520830;4804
361;2020;520830;4778
362;2021;520830;4701
363;2022;520830;4441
364;2019;520840;11231
365;2020;520840;11224
366;2021;520840;11217
367;2022;520840;14036
368;2019;520850;5600
369;2020;520850;5625
370;2021;520850;5650
371;2022;520850;5023
372;2019;520860;70084
373;2020;520860;71075
374;2021;520860;72045
375;2022;520860;73201
376;2019;520870;1516113
377;2020;520870;1536097
378;2021;520870;1555626
379;2022;520870;1414483
380;2019;520880;44289
381;2020;520880;45296
382;2021;520880;46278
383;2022;520880;69511
384;2019;520890;22645
385;2020;520890;22381
386;2021;520890;22122
387;2022;520890;23485
388;2019;520910;34095
389;2020;520910;34202
390;2021;520910;34307
391;2022;520910;36936
392;2019;520915;5898
393;2020;520915;5988
394;2021;520915;6076
395;2022;520915;5127
396;2019;520920;14209
397;2020;520920;14207
398;2021;520920;14206
399;2022;520920;17463
400;2019;520929;1996
401;2020;520929;1951
402;2021;520929;1905
403;2022;520929;2169
404;2019;520940;3893
405;2020;520940;3846
406;2021;520940;3801
407;2022;520940;4024
408;2019;520945;1794
409;2020;520945;1737
410;2021;520945;1681
411;2022;520945;2167
412;2019;520960;3724
413;2020;520960;3733
414;2021;520960;3742
415;2022;520960;3146
416;2019;520970;21706
417;2020;520970;22124
418;2021;520970;22533
419;2022;520970;27530
420;2019;520980;3564
421;2020;520980;3508
422;2021;520980;3450
423;2022;520980;4848
424;2019;520990;13947
425;2020;520990;14082
426;2021;520990;14215
427;2022;520990;11462
428;2019;520993;6194
429;2020;520993;6235
430;2021;520993;6275
431;2022;520993;5958
432;2019;520995;15611
433;2020;520995;15787
434;2021;520995;15962
435;2022;520995;16829
436;2019;521000;52866
437;2020;521000;53259
438;2021;521000;53655
439;2022;521000;53315
440;2019;521010;26985
441;2020;521010;27174
442;2021;521010;27365
443;2022;521010;24617
444;2019;521015;2893
445;2020;521015;2893
446;2021;521015;2892
447;2022;521015;2907
448;2019;521020;31531
449;2020;521020;31499
450;2021;521020;31471
451;2022;521020;35284
452;2019;521030;2800
453;2020;521030;2786
454;2021;521030;2772
455;2022;521030;2543
456;2019;521040;42900
457;2020;521040;43622
458;2021;521040;44329
459;2022;521040;47016
460;2019;521056;4676
461;2020;521056;4685
462;2021;521056;4684
463;2022;521056;4939
464;2019;521060;5237
465;2020;521060;5206
466;2021;521060;5184
467;2022;521060;4906
468;2019;521080;4539
469;2020;521080;4475
470;2021;521080;4412
471;2022;521080;4468
472;2019;521090;22981
473;2020;521090;23421
474;2021;521090;23850
475;2022;521090;21547
476;2019;521100;4997
477;2020;521100;4685
478;2021;521100;4380
479;2022;521100;7987
480;2019;521120;25768
481;2020;521120;25681
482;2021;521120;25597
483;2022;521120;28522
484;2019;521130;7178
485;2020;521130;7259
486;2021;521130;7337
487;2022;521130;7029
488;2019;521140;8938
489;2020;521140;8960
490;2021;521140;8968
491;2022;521140;8693
492;2019;521150;104742
493;2020;521150;105809
494;2021;521150;106845
495;2022;521150;113838
496;2019;521160;2370
497;2020;521160;2334
498;2021;521160;2295
499;2022;521160;2664
500;2019;521170;6048
501;2020;521170;6025
502;2021;521170;6001
503;2022;521170;6273
504;2019;521180;50511
505;2020;521180;51338
506;2021;521180;52160
507;2022;521180;43928
508;2019;521190;100882
509;2020;521190;102065
510;2021;521190;103221
511;2022;521190;104656
512;2019;521200;2879
513;2020;521200;2860
514;2021;521200;2843
515;2022;521200;2934
516;2019;521205;2490
517;2020;521205;2506
518;2021;521205;2497
519;2022;521205;2113
520;2019;521210;7387
521;2020;521210;7402
522;2021;521210;7417
523;2022;521210;7164
524;2019;521220;18478
525;2020;521220;18371
526;2021;521220;18266
527;2022;521220;19582
528;2019;521225;1588
529;2020;521225;1621
530;2021;521225;1652
531;2022;521225;1568
532;2019;521230;7647
533;2020;521230;7651
534;2021;521230;7663
535;2022;521230;8777
536;2019;521250;208299
537;2020;521250;211508
538;2021;521250;214645
539;2022;521250;196416
540;2019;521260;2368
541;2020;521260;2363
542;2021;521260;2358
543;2022;521260;2476
544;2019;521270;8882
545;2020;521270;9081
546;2021;521270;9277
547;2022;521270;8144
548;2019;521280;9503
549;2020;521280;9363
550;2021;521280;9234
551;2022;521280;10705
552;2019;521290;2236
553;2020;521290;2250
554;2021;521290;2263
555;2022;521290;2764
556;2019;521295;4351
557;2020;521295;4336
558;2021;521295;4321
559;2022;521295;4042
560;2019;521300;14080
561;2020;521300;14327
562;2021;521300;14568
563;2022;521300;9684
564;2019;521305;2597
565;2020;521305;2583
566;2021;521305;2575
567;2022;521305;2572
568;2019;521308;29070
569;2020;521308;28793
570;2021;521308;28518
571;2022;521308;26994
572;2019;521310;66801
573;2020;521310;68154
574;2021;521310;69477
575;2022;521310;71108
576;2019;521340;1529
577;2020;521340;1501
578;2021;521340;1471
579;2022;521340;1701
580;2019;521350;8606
581;2020;521350;8684
582;2021;521350;8759
583;2022;521350;6643
584;2019;521370;8055
585;2020;521370;8047
586;2021;521370;8037
587;2022;521370;9530
588;2019;521375;13396
589;2020;521375;13672
590;2021;521375;13935
591;2022;521375;12716
592;2019;521377;4479
593;2020;521377;4509
594;2021;521377;4538
595;2022;521377;3647
596;2019;521380;46136
597;2020;521380;46548
598;2021;521380;46955
599;2022;521380;49965
600;2019;521385;2248
601;2020;521385;2232
602;2021;521385;2217
603;2022;521385;2440
604;2019;521390;4290
605;2020;521390;4206
606;2021;521390;4120
607;2022;521390;4791
608;2019;521400;15659
609;2020;521400;15870
610;2021;521400;16077
611;2022;521400;15284
612;2019;521405;4887
613;2020;521405;4713
614;2021;521405;4540
615;2022;521405;6273
616;2019;521410;3778
617;2020;521410;3764
618;2021;521410;3749
619;2022;521410;3574
620;2019;521440;9142
621;2020;521440;9260
622;2021;521440;9375
623;2022;521440;9247
624;2019;521450;29850
625;2020;521450;30395
626;2021;521450;30931
627;2022;521450;33898
628;2019;521460;46388
629;2020;521460;46730
630;2021;521460;47064
631;2022;521460;35609
632;2019;521470;2352
633;2020;521470;2357
634;2021;521470;2362
635;2022;521470;2331
