ano,sigla_uf,id_municipio,populacao
2021,GO,5214838,13020
2019,GO,5214861,8164
2020,GO,5214861,8112
2021,GO,5214861,8063
2019,GO,5214879,2929
2020,GO,5214879,2934
2021,GO,5214879,2939
2019,GO,5214903,3264
2020,GO,5214903,3236
2021,GO,5214903,3208
2019,GO,5215009,9853
2020,GO,5215009,10018
2021,GO,5215009,10193
2019,GO,5215207,2913
2020,GO,5215207,2843
2021,GO,5215207,2775
2019,GO,5215231,115711
2020,GO,5215231,117703
2021,GO,5215231,119649
2019,GO,5215256,4495
2020,GO,5215256,4544
2021,GO,5215256,4592
2019,GO,5215306,15615
2020,GO,5215306,15725
2021,GO,5215306,15834
2019,GO,5215405,3759
2020,GO,5215405,3723
2021,GO,5215405,3679
2019,GO,5215504,6667
2020,GO,5215504,6782
2021,GO,5215504,6895
2019,GO,5215603,33835
2020,GO,5215603,34430
2021,GO,5215603,35011
2019,GO,5215652,3464
2020,GO,5215652,3467
2021,GO,5215652,3470
2019,GO,5215702,28858
2020,GO,5215702,29392
2021,GO,5215702,29915
2019,GO,5215801,2381
2020,GO,5215801,2381
2021,GO,5215801,2382
2019,GO,5215900,3585
2020,GO,5215900,3582
2021,GO,5215900,3578
2019,GO,5216007,2615
2020,GO,5216007,2603
2021,GO,5216007,2590
2019,GO,5216304,10057
2020,GO,5216304,10140
2021,GO,5216304,10221
2019,GO,5216403,10988
2020,GO,5216403,10980
2021,GO,5216403,10988
2019,GO,5216452,3129
2020,GO,5216452,3143
2021,GO,5216452,3156
2019,GO,5216809,10281
2020,GO,5216809,10261
2021,GO,5216809,10240
2019,GO,5216908,2253
2020,GO,5216908,2194
2021,GO,5216908,2135
2019,GO,5217104,24524
2020,GO,5217104,24548
2021,GO,5217104,24543
2019,GO,5217203,10385
2020,GO,5217203,10272
2021,GO,5217203,10161
2019,GO,5217302,24908
2020,GO,5217302,25064
2021,GO,5217302,25218
2019,GO,5217401,31458
2020,GO,5217401,31686
2021,GO,5217401,31909
2019,GO,5217609,89918
2020,GO,5217609,90640
2021,GO,5217609,91345
2019,GO,5217708,17819
2020,GO,5217708,17860
2021,GO,5217708,17899
2019,GO,5218003,45394
2020,GO,5218003,45633
2021,GO,5218003,45866
2019,GO,5218052,3881
2020,GO,5218052,3931
2021,GO,5218052,3979
2019,GO,5218102,4011
2020,GO,5218102,4022
2021,GO,5218102,4032
2019,GO,5218300,36900
2020,GO,5218300,37414
2021,GO,5218300,37924
2019,GO,5218391,3223
2020,GO,5218391,3203
2021,GO,5218391,3211
2019,GO,5218508,50065
2020,GO,5218508,50701
2021,GO,5218508,51323
2019,GO,5218607,10918
2020,GO,5218607,10940
2021,GO,5218607,10961
2019,GO,5218706,4801
2020,GO,5218706,4817
2021,GO,5218706,4832
2019,GO,5218789,4493
2020,GO,5218789,4612
2021,GO,5218789,4728
2019,GO,5218805,235647
2020,GO,5218805,241518
2021,GO,5218805,247259
2019,GO,5218904,19882
2020,GO,5218904,19947
2021,GO,5218904,20012
2019,GO,5219001,7637
2020,GO,5219001,7632
2021,GO,5219001,7630
2019,GO,5219100,6560
2020,GO,5219100,6634
2021,GO,5219100,6701
2019,GO,5219209,2855
2020,GO,5219209,2819
2021,GO,5219209,2782
2019,GO,5219258,5459
2020,GO,5219258,5523
2021,GO,5219258,5585
2019,GO,5219308,38648
2020,GO,5219308,38808
2021,GO,5219308,38962
2019,GO,5219357,3809
2020,GO,5219357,3815
2021,GO,5219357,3821
2019,GO,5219407,8756
2020,GO,5219407,8935
2021,GO,5219407,9110
